Mjj,dYjj,wgdata,wg,wgvbs,wjets,z,dp,ttbar
500,1,281.0,170.06355458855978,76.97629054575282,0.0,25.940481305122375,0.0,21.396634302371695
500,1.5,273.0,161.05746609330527,75.73690362725301,0.0,25.940481305122375,0.0,20.712560660474992
500,2,261.0,148.61731416496332,74.27229331906074,0.0,25.940481305122375,0.0,19.86474636875937
500,2.5,236.0,142.68371969970758,70.56529152120584,0.0,25.940481305122375,0.0,18.21944163487933
500,3,212.0,123.62155372698908,64.57767073909872,0.0,25.940481305122375,0.0,16.048106399641256
550,1,217.0,146.11578797695074,68.02304410406168,0.0,20.13353705406189,0.0,15.996743567637168
550,1.5,212.0,138.79365574714575,67.10354536243494,0.0,20.13353705406189,0.0,15.569313995889388
550,2,204.0,128.62481057044897,66.071377093494,0.0,20.13353705406189,0.0,14.813698850921355
550,2.5,189.0,122.89634864923391,63.07974794372922,0.0,20.13353705406189,0.0,13.792351229473752
550,3,171.0,110.6306833579456,58.2820022912324,0.0,20.13353705406189,0.0,12.105485974237126
600,1,178.0,118.74890337922079,59.500362506441434,0.0,9.226564526557922,0.0,12.120106071582995
600,1.5,173.0,112.64805029370291,58.827402880720456,0.0,9.226564526557922,0.0,11.766119674197398
600,2,166.0,105.80914352871878,58.24495003983384,0.0,9.226564526557922,0.0,11.316657647839747
600,2.5,156.0,101.12764041163427,55.928898862153346,0.0,9.226564526557922,0.0,10.808414696141881
600,3,142.0,91.39845471121407,52.15294533088809,0.0,9.226564526557922,0.0,9.6580115839688
650,1,145.0,90.51206088196886,52.697171328894456,0.0,9.226564526557922,0.0,9.294072826494812
650,1.5,141.0,85.66445863377703,52.329476056925614,0.0,9.226564526557922,0.0,8.944572319378494
650,2,135.0,80.67073524129046,51.89986859872943,0.0,9.226564526557922,0.0,8.806429428150295
650,2.5,128.0,77.08684259783877,49.96527027949696,0.0,9.226564526557922,0.0,8.62737065098736
650,3,117.0,68.86897081267125,46.90078607067471,0.0,9.226564526557922,0.0,7.8084466113850794
700,1,112.0,77.7362541730381,45.14358435787972,0.0,9.226564526557922,0.0,7.212893414143991
700,1.5,108.0,72.88865091156731,44.883495914123614,0.0,9.226564526557922,0.0,6.863392549399805
700,2,104.0,68.85680629563103,44.50427393108612,0.0,9.226564526557922,0.0,6.820472555999231
700,2.5,98.0,65.81199987482796,43.10780196130281,0.0,9.226564526557922,0.0,6.713937432343528
700,3,90.0,59.39810057234172,40.69020338594919,0.0,9.226564526557922,0.0,5.980853677565619
750,1,99.0,63.840474980586805,40.00253433858711,0.0,9.226564526557922,0.0,5.607532300550317
750,1.5,96.0,60.66916610550288,39.77782721196968,0.0,9.226564526557922,0.0,5.4800548036879055
750,2,92.0,57.630920427554884,39.48926007893829,0.0,9.226564526557922,0.0,5.437134810287332
750,2.5,88.0,55.2385571772993,38.301555523248,0.0,9.226564526557922,0.0,5.3305996270269835
750,3,80.0,49.19876475881938,36.25461501774339,0.0,9.226564526557922,0.0,4.888033768662878
800,1,82.0,53.82407859310297,34.8833846164282,0.0,4.449536323547363,0.0,4.718406309617946
800,1.5,79.0,51.747395191041505,34.65867725139219,0.0,4.449536323547363,0.0,4.659079571498821
800,2,76.0,49.171032104341066,34.4495983957961,0.0,4.449536323547363,0.0,4.659079571498821
800,2.5,73.0,47.25349039181856,33.578728230269235,0.0,4.449536323547363,0.0,4.623352322046755
800,3,66.0,42.230204168407,31.80933633592872,0.0,4.449536323547363,0.0,4.263851079409121
