Mjj,dYjj,wgdata,wg,wgvbs,wjets,z,dp,ttbar
200,1,1336.0,746.8111753475387,166.95980613201664,14.850436866283417,121.17858529090881,551.0863189697266,158.7791700427515
200,1.5,1205.0,668.8388030899805,158.70738745514518,12.837445437908173,118.32179474830627,551.0863189697266,134.7497027986792
200,2,999.0,556.7500984430662,145.81979988964122,12.061586905270815,111.28175067901611,551.0863189697266,107.36869831637887
200,2.5,779.0,441.28690829803236,125.21550962777656,8.66881923750043,93.36891806125641,551.0863189697266,75.28986581613935
200,3,556.0,289.6488968397898,99.03887881553419,5.472480583935976,63.38362753391266,551.0863189697266,45.24317869350489
250,1,968.0,540.863858981058,146.62896086957153,9.409360457211733,94.15718674659729,551.0863189697266,103.73851336922235
250,1.5,899.0,496.7430988145352,140.75251856149953,9.409360457211733,91.30039811134338,551.0863189697266,91.61772913061577
250,2,791.0,429.99182960303733,131.62466361610132,9.409360457211733,87.03331089019775,551.0863189697266,78.03624806502921
250,2.5,660.0,360.8921607596567,117.26378294316964,6.016592789441347,75.12987101078033,551.0863189697266,60.56359071046609
250,3,508.0,261.4061752821726,97.03024626759725,2.820254135876894,56.458178639411926,551.0863189697266,41.573833868624206
300,1,705.0,400.69645596374176,127.30713742675107,5.974837779998779,64.07751595973969,410.4766845703125,68.92569782453029
300,1.5,667.0,368.49789719225373,123.18292331910379,5.974837779998779,61.22072446346283,410.4766845703125,63.38863266046974
300,2,602.0,328.66798558077426,117.14341449974017,5.974837779998779,61.22072446346283,410.4766845703125,56.54311437829165
300,2.5,519.0,288.64869368959626,107.02456004409032,5.974837779998779,61.22072446346283,410.4766845703125,46.63220512339649
300,3,428.0,225.57933284149476,91.28682780502277,2.778499126434326,49.862903475761414,410.4766845703125,34.913309088424285
350,1,525.0,300.5439838293678,109.4343450973156,5.974837779998779,47.76696527004242,410.4766845703125,48.44484774001103
350,1.5,502.0,275.06489973115094,106.75062558661921,5.974837779998779,47.76696527004242,410.4766845703125,45.14160435011945
350,2,462.0,247.42829301473103,102.47790304454975,5.974837779998779,47.76696527004242,410.4766845703125,41.6211516763251
350,2.5,404.0,223.7612906944414,94.87327532353811,5.974837779998779,47.76696527004242,410.4766845703125,35.68221266747787
350,3,343.0,181.5238359118157,83.12383020552807,2.778499126434326,44.29982554912567,410.4766845703125,28.5554132908037
400,1,398.0,233.17339866208204,95.404243603125,2.778499126434326,37.95168912410736,410.4766845703125,35.477997587606296
400,1.5,381.0,216.0069270974418,93.41439684223405,2.778499126434326,37.95168912410736,410.4766845703125,33.99282912006856
400,2,358.0,194.1143742216591,90.30987020346583,2.778499126434326,37.95168912410736,410.4766845703125,31.80150021150439
400,2.5,319.0,178.8866069925789,84.60470357301892,2.778499126434326,37.95168912410736,410.4766845703125,28.253629497301517
400,3,279.0,149.53754164225393,75.49300656977357,2.778499126434326,37.95168912410736,410.4766845703125,23.694902381908832
450,1,298.0,184.17321279738098,83.6600342484835,2.778499126434326,37.95168912410736,410.4766845703125,27.653942107097464
450,1.5,288.0,174.10817427144502,82.24461621730552,2.778499126434326,37.95168912410736,410.4766845703125,26.632968961135703
450,2,274.0,159.45336587089696,79.86113245001252,2.778499126434326,37.95168912410736,410.4766845703125,25.361049874560194
450,2.5,242.0,150.94258172172704,75.0200098302048,2.778499126434326,37.95168912410736,410.4766845703125,23.037866090306125
450,3,213.0,127.1232377753986,67.47263678869422,2.778499126434326,37.95168912410736,410.4766845703125,19.735423509844622
500,1,243.0,148.54605575240566,73.44883226542697,0.0,25.940481305122375,0.0,20.34674691342707
500,1.5,235.0,139.53996928370907,72.20944439325285,0.0,25.940481305122375,0.0,19.662673748367524
500,2,223.0,127.09981997797149,70.74482976372383,0.0,25.940481305122375,0.0,18.814859993093705
500,2.5,198.0,121.1662306387152,67.03782665456674,0.0,25.940481305122375,0.0,17.169553828702192
500,3,174.0,102.10406323548523,61.05020491506002,0.0,25.940481305122375,0.0,14.998218593464117
