Mjj,dYjj,wgdata,wg,wgvbs,wjets,z,dp,ttbar
200,1,1804.0,722.2881888113916,145.61437309897156,27.878722563385963,99.99711763858795,0.0,359.7592867964413
200,1.5,1465.0,590.1103467229113,132.69257669442777,25.86573113501072,87.92031240463257,0.0,288.18595621448185
200,2,1037.0,422.03282283525914,115.4342724418866,22.52475154399872,73.95517379045486,0.0,206.5889693653371
200,2.5,664.0,278.1825644053606,93.39734808715457,19.13198411464691,53.86273497343063,0.0,131.07614007168013
200,3,408.0,151.23958109394152,69.21202658104175,10.919039726257324,24.2407528758049,0.0,74.54722844159915
250,1,1427.0,579.2288041046122,133.39582846558642,25.65534818172455,81.16642773151398,0.0,275.0268571318593
250,1.5,1207.0,494.32882812542084,123.34042866701111,25.65534818172455,69.08962213993073,0.0,232.65049989167892
250,2,931.0,376.47605043655494,109.7362343853938,22.52475154399872,58.26572412252426,0.0,180.46550986724833
250,2.5,641.0,265.22275752214773,91.91671292098636,19.13198411464691,48.36498671770096,0.0,124.9215711829238
250,3,407.0,151.23958109394152,69.17124460624927,10.919039726257324,24.2407528758049,0.0,74.26596318281008
300,1,1107.0,455.36641592360684,118.00077750545552,22.26258075237274,56.95120465755463,0.0,208.29064309835667
300,1.5,977.0,390.94745979896106,110.47513830600928,22.26258075237274,47.18829256296158,0.0,183.76022976821696
300,2,791.0,310.8931642706448,101.0497832930314,19.13198411464691,44.25148206949234,0.0,151.26140290972762
300,2.5,577.0,233.53436599176348,87.53023386361474,19.13198411464691,41.051115334033966,0.0,112.54867593271047
300,3,395.0,144.71143768802722,68.26743797945255,10.919039726257324,24.2407528758049,0.0,72.47277009681784
350,1,852.0,350.8091257309934,103.67572247444787,18.78350818157196,45.99697595834732,0.0,160.70756562792667
350,1.5,772.0,299.3408082581882,98.36499318616097,18.78350818157196,39.297610342502594,0.0,145.45767283246823
350,2,654.0,244.77523062627733,91.34629396160472,15.65291154384613,36.360799849033356,0.0,124.77226690053067
350,2.5,505.0,195.95190258343064,80.88229037632573,15.65291154384613,33.16043311357498,0.0,98.32534416071758
350,3,363.0,129.9724275924309,65.30007031743753,10.919039726257324,24.2407528758049,0.0,68.1313712863739
400,1,649.0,281.54813512856344,91.48462594389457,15.587169528007507,35.94282537698746,0.0,124.990201513996
400,1.5,598.0,245.243384364323,87.60606104271119,15.587169528007507,32.11416536569595,0.0,116.13870607459467
400,2,526.0,205.46499132707686,82.33510947783816,12.456572890281677,29.177354872226715,0.0,102.44238919617055
400,2.5,428.0,171.17685851566785,74.3812638651334,12.456572890281677,25.97698813676834,0.0,84.28310004877312
400,3,320.0,119.3746492721184,61.93659076278436,10.919039726257324,20.524447858333588,0.0,62.059129071272764
450,1,509.0,224.81928961681115,81.87600224285688,15.587169528007507,33.00601488351822,0.0,99.35686355296639
450,1.5,473.0,198.8298930805904,79.0273941043406,15.587169528007507,29.177354872226715,0.0,93.28244657984033
450,2,420.0,172.16488073854998,74.68760692335763,12.456572890281677,29.177354872226715,0.0,84.63627779133276
450,2.5,350.0,147.13222320981004,67.97876942165294,12.456572890281677,25.97698813676834,0.0,71.67009102419615
450,3,273.0,106.08154738003941,57.57695199929276,10.919039726257324,20.524447858333588,0.0,54.98526646541359
500,1,401.0,185.74308962104988,72.7946856914541,12.808670163154602,18.76043826341629,0.0,80.52861897839466
500,1.5,376.0,163.4685075926609,70.36188366761166,12.808670163154602,14.931778013706207,0.0,76.27524642134995
500,2,345.0,140.9718527421137,67.17651775252966,9.678073763847351,14.931778013706207,0.0,69.35658292492917
500,2.5,293.0,121.68249088292941,62.04778031033425,9.678073763847351,14.931778013706207,0.0,59.800931131281686
500,3,230.0,88.96087020690175,53.53609203693418,8.140540599822998,13.191724956035614,0.0,46.98619800108008
550,1,330.0,151.45179839830962,64.85737791409451,12.808670163154602,13.631525129079819,0.0,63.56411231722814
550,1.5,312.0,133.7914964745578,62.8923814569946,12.808670163154602,13.631525129079819,0.0,60.52743727420966
550,2,291.0,116.71814057751908,60.40797415149359,9.678073763847351,13.631525129079819,0.0,55.57736171276065
550,2.5,252.0,100.65046210132277,56.21147576493172,9.678073763847351,13.631525129079819,0.0,48.99342974156525
550,3,205.0,76.81655920729463,49.16995709535627,8.140540599822998,11.891472071409225,0.0,39.394776876482865
