Mjj,dYjj,wgdata,wg,wgvbs,wjets,z,dp,ttbar
350,2,487.0,232.963085754629,95.97254756257098,5.974837779998779,43.97805690765381,410.4766845703125,61.064675157907004
350,2.5,412.0,202.186039670225,87.56552348449986,5.974837779998779,43.97805690765381,410.4766845703125,51.43815931165227
350,3,341.0,151.16064995248598,74.48870482459824,2.778499126434326,36.79843020439148,410.4766845703125,39.618575913070345
400,1,429.0,230.41847823912394,91.02151652801876,2.778499126434326,39.30735659599304,410.4766845703125,52.988166814742726
400,1.5,407.0,210.94168427057593,88.55285278105112,2.778499126434326,35.47869658470154,410.4766845703125,50.88826009686454
400,2,379.0,186.1161136640876,84.86927089259189,2.778499126434326,35.47869658470154,410.4766845703125,47.29052250596851
400,2.5,328.0,164.85452640193398,78.52752573207181,2.778499126434326,35.47869658470154,410.4766845703125,41.39145202365398
400,3,282.0,128.07546658768115,68.19590785518449,2.778499126434326,31.766209363937378,410.4766845703125,33.57448585203019
450,1,325.0,181.57682250377547,80.6632092801392,2.778499126434326,39.30735659599304,410.4766845703125,41.215418341796976
450,1.5,312.0,169.20143963942974,78.88438369672258,2.778499126434326,35.47869658470154,410.4766845703125,39.64785771474453
450,2,293.0,152.0192380170265,75.92760797205119,2.778499126434326,35.47869658470154,410.4766845703125,37.551232754009106
450,2.5,257.0,137.7458678702751,70.65794542046933,2.778499126434326,35.47869658470154,410.4766845703125,33.597857273340196
450,3,224.0,107.72146743542544,62.02591578277497,2.778499126434326,31.766209363937378,410.4766845703125,28.137655041336984
500,1,264.0,147.32220875787607,71.23469748686512,0.0,25.27058482170105,0.0,31.387058029734362
500,1.5,253.0,136.9966298298823,69.66632446006406,0.0,21.441924571990967,0.0,30.31757242497133
500,2,240.0,122.2950415583473,67.7259640929824,0.0,21.441924571990967,0.0,28.740343556321932
500,2.5,212.0,111.48132204731519,63.67096588141976,0.0,21.441924571990967,0.0,25.959633507734907
500,3,185.0,87.62346816069476,56.765602127981765,0.0,21.441924571990967,0.0,22.296909400231016
550,1,211.0,124.20293427497927,62.95412543286898,0.0,15.634981125593185,0.0,24.40553247031312
550,1.5,204.0,115.56131340057436,61.74281099309542,0.0,15.634981125593185,0.0,23.709053671327638
550,2,195.0,103.13103295356814,60.3022612620573,0.0,15.634981125593185,0.0,22.462248276990067
550,2.5,178.0,93.38137079269472,57.10076663163113,0.0,15.634981125593185,0.0,20.614606906199697
550,3,157.0,77.36835188802979,51.48025800925302,0.0,15.634981125593185,0.0,18.157736991071943
600,1,176.0,99.74631863963259,55.6288829954467,0.0,6.576530188322067,0.0,18.730005598152275
600,1.5,170.0,92.3259729160036,54.70904146750786,0.0,6.576530188322067,0.0,18.10696901985466
600,2,162.0,83.4915949119295,53.77508143973159,0.0,6.576530188322067,0.0,17.277557855928535
600,2.5,150.0,75.84561020266665,51.30397533517885,0.0,6.576530188322067,0.0,16.19941779338842
600,3,134.0,63.31816947590596,46.87656362992334,0.0,6.576530188322067,0.0,14.509316512579062
650,1,143.0,75.87440979611529,49.27839809926263,0.0,6.369773745536804,0.0,14.295207558141556
650,1.5,138.0,70.7608415497507,48.726828697044766,0.0,6.369773745536804,0.0,13.738636551366653
650,2,131.0,64.39066356551302,48.031815107104194,0.0,6.369773745536804,0.0,13.509252620802727
650,2.5,123.0,58.30417299401415,45.98828661733569,0.0,6.369773745536804,0.0,12.996241267719597
650,3,111.0,48.418694318645066,42.51089111262263,0.0,6.369773745536804,0.0,11.866246830620184
700,1,113.0,65.01875885081063,42.405687148590005,0.0,6.369773745536804,0.0,11.196887552686348
700,1.5,108.0,59.90519120049248,42.00029330970756,0.0,6.369773745536804,0.0,10.708467185445443
700,2,103.0,54.49689390015374,41.4311785578102,0.0,6.369773745536804,0.0,10.638021498866692
700,2.5,96.0,49.87231178831826,39.92578076862992,0.0,6.369773745536804,0.0,10.421265317078905
700,3,87.0,41.7908032710493,37.095278944012534,0.0,6.369773745536804,0.0,9.436437932726221
750,1,100.0,52.870963352435865,37.46601693110915,0.0,6.369773745536804,0.0,9.054377845248041
750,1.5,97.0,49.43368812155131,37.127406043581686,0.0,6.369773745536804,0.0,8.857440671643076
750,2,92.0,45.393096404784956,36.648947572201905,0.0,6.369773745536804,0.0,8.786995104273615
750,2.5,87.0,41.9198338563383,35.352316720277486,0.0,6.369773745536804,0.0,8.570238862882093
750,3,78.0,35.52676566194896,32.933254821092305,0.0,6.369773745536804,0.0,7.994425018082097
800,1,86.0,43.78756741031793,32.7423884771988,0.0,4.449536323547363,0.0,7.313814751312407
800,1.5,83.0,41.44491860613016,32.47836159693452,0.0,4.449536323547363,0.0,7.254488013193281
800,2,79.0,38.32809493288187,32.134202642232594,0.0,4.449536323547363,0.0,7.226962439224394
800,2.5,75.0,35.948669645635164,31.154405942053017,0.0,4.449536323547363,0.0,7.092522983884578
800,3,67.0,30.572106215802705,29.032708888739762,0.0,4.449536323547363,0.0,6.604259496068721
