Mjj,dYjj,wgdata,wg,wgvbs,wjets,z,dp,ttbar
200,1,2822.0,1302.8466121736565,227.82980422196397,34.672437489032745,191.72851169109344,551.0863189697266,464.5188222965371
200,1.5,2474.0,1157.1926725014055,214.2417343948673,32.6594460606575,179.65170860290527,551.0863189697266,391.648995204072
200,2,2004.0,964.6620522751182,195.68392126523486,28.752990890294313,162.91361355781555,551.0863189697266,305.7005155826555
200,2.5,1543.0,770.7157227777643,168.8959475483798,25.360223460942507,136.6007660627365,551.0863189697266,216.91167588788812
200,3,1131.0,542.5868640819972,134.61643387405002,17.147279549390078,101.16293048858643,551.0863189697266,137.2056719829452
250,1,2122.0,980.2178529043158,199.74521857199397,25.697103191167116,151.93100535869598,551.0863189697266,342.55036971496884
250,1.5,1901.0,892.3064652582398,189.56183543429597,25.697103191167116,139.85420036315918,551.0863189697266,300.03464274860744
250,2,1618.0,765.3772281772981,175.69557747060298,22.566506553441286,129.0303032398224,551.0863189697266,247.10129256728396
250,2.5,1302.0,634.393739746185,156.33640535736322,19.17373912408948,113.92649734020233,551.0863189697266,188.28083238424006
250,3,994.0,476.58381434192415,129.14907134139776,10.960794735699892,89.80226230621338,551.0863189697266,128.14300510750763
300,1,1589.0,747.5205844412558,172.55130703980467,22.26258075237274,113.194839656353,410.4766845703125,252.94717753188888
300,1.5,1459.0,682.2636448275589,164.95931118143108,22.26258075237274,103.4319280385971,410.4766845703125,228.41676837418345
300,2,1272.0,599.5798765665677,155.3652053459091,19.13198411464691,100.49511659145355,410.4766845703125,195.8098821092426
300,2.5,1054.0,516.5249774319818,141.31758296326825,19.13198411464691,97.2947496175766,410.4766845703125,156.59300700647145
300,3,844.0,407.5993064474169,119.88823699043223,10.919039726257324,80.48438596725464,410.4766845703125,113.16247246313287
350,1,1194.0,561.9198314194509,148.39027307808647,18.78350818157196,94.62537038326263,410.4766845703125,191.64204031293048
350,1.5,1114.0,509.75789374172746,143.07953055757298,18.78350818157196,87.92600476741791,410.4766845703125,176.39214048400754
